,$,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
2023-12,"4,472,859",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.19%,4.19%,4.19%,4.19%,4.03%,4.01%,4.01%,4.01%,4.01%,4.01%,3.77%,3.63%,3.52%,7.36%,7.36%,9.62%,,,,,,,,,,,,,,,,,
2024-01,"4,213,261",0.00%,0.00%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,5.52%,5.52%,8.28%,8.28%,8.28%,8.28%,8.28%,8.28%,,,,,,,,,,,,,,,,,,
2024-02,"3,957,966",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
2024-03,"3,513,978",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.59%,3.55%,3.55%,7.37%,7.37%,7.37%,10.19%,10.19%,10.19%,10.19%,10.19%,10.19%,10.19%,15.52%,,,,,,,,,,,,,,,,,,,,
2024-04,"4,023,432",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,
2024-05,"5,808,922",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.20%,2.20%,2.18%,2.16%,2.56%,2.53%,2.51%,2.48%,2.48%,4.48%,4.21%,,,,,,,,,,,,,,,,,,,,,,
2024-06,"4,757,720",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.76%,4.76%,8.83%,7.85%,7.85%,7.85%,,,,,,,,,,,,,,,,,,,,,,,
2024-07,"4,257,022",0.00%,0.00%,0.00%,0.00%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,,,,,,,,,,,,,,,,,,,,,,,,
2024-08,"5,725,382",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.52%,2.52%,2.52%,2.52%,2.52%,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09,"3,853,082",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.55%,3.55%,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10,"6,755,565",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11,"6,728,022",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.01%,0.00%,0.00%,0.00%,0.00%,1.81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12,"6,026,405",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01,"7,510,258",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.68%,1.65%,0.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02,"5,709,750",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
