,$,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
2023-10,"20,652,119",0.78%,0.78%,0.78%,2.33%,2.33%,4.65%,4.65%,4.65%,4.65%,4.65%,4.65%,4.65%,4.65%,6.20%,6.98%,6.98%,7.75%,7.75%,8.53%,8.53%,9.30%,10.08%,10.08%,10.08%,10.85%,,,,,,,,,,,,,,,,
2023-11,"14,338,229",0.00%,0.00%,0.00%,1.03%,1.03%,2.06%,3.09%,3.09%,4.12%,4.12%,5.15%,6.19%,8.25%,8.25%,9.28%,9.28%,10.31%,11.34%,12.37%,12.37%,13.40%,13.40%,14.43%,14.43%,,,,,,,,,,,,,,,,,
2023-12,"12,622,274",0.00%,0.00%,0.00%,1.18%,1.18%,1.18%,1.18%,2.35%,2.35%,2.35%,4.71%,4.71%,4.71%,4.71%,5.88%,5.88%,5.88%,7.06%,7.06%,8.24%,9.41%,9.41%,10.59%,,,,,,,,,,,,,,,,,,
2024-01,"12,563,975",0.00%,0.00%,1.16%,2.33%,2.33%,2.33%,2.33%,2.33%,2.33%,2.33%,2.33%,2.33%,3.49%,3.49%,4.65%,4.65%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,,,,,,,,,,,,,,,,,,,
2024-02,"12,632,924",0.00%,1.15%,1.15%,2.30%,2.30%,3.45%,4.60%,4.60%,4.60%,4.60%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,6.90%,9.20%,9.20%,9.20%,,,,,,,,,,,,,,,,,,,,
2024-03,"10,101,754",0.00%,0.00%,0.00%,0.00%,1.56%,1.56%,3.12%,3.12%,3.12%,4.69%,6.25%,7.81%,10.94%,10.94%,10.94%,12.50%,12.50%,12.50%,14.06%,15.62%,,,,,,,,,,,,,,,,,,,,,
2024-04,"11,010,323",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.94%,4.41%,4.41%,4.41%,4.41%,4.41%,4.41%,4.41%,4.41%,4.41%,4.41%,4.41%,,,,,,,,,,,,,,,,,,,,,,
2024-05,"15,072,724",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.10%,1.10%,2.20%,2.20%,3.30%,3.30%,3.30%,4.40%,6.59%,7.69%,7.69%,,,,,,,,,,,,,,,,,,,,,,,
2024-06,"13,505,108",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.25%,2.25%,4.49%,5.62%,5.62%,5.62%,,,,,,,,,,,,,,,,,,,,,,,,
2024-07,"11,352,063",0.00%,0.00%,0.00%,0.00%,1.27%,1.27%,1.27%,1.27%,2.53%,2.53%,2.53%,2.53%,5.06%,5.06%,6.33%,6.33%,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08,"18,126,743",0.00%,0.00%,0.88%,2.65%,2.65%,2.65%,2.65%,2.65%,2.65%,2.65%,3.54%,3.54%,3.54%,4.42%,4.42%,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09,"13,089,272",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.38%,2.38%,2.38%,3.57%,3.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10,"20,368,099",0.00%,0.00%,0.00%,0.80%,0.80%,1.60%,1.60%,1.60%,1.60%,1.60%,2.40%,2.40%,3.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11,"19,043,060",0.00%,0.00%,1.69%,1.69%,1.69%,1.69%,3.39%,3.39%,3.39%,4.24%,4.24%,5.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12,"18,246,983",0.00%,0.00%,0.00%,0.85%,0.85%,0.85%,0.85%,0.85%,0.85%,1.71%,1.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01,"20,721,273",0.00%,0.75%,0.75%,0.75%,0.75%,1.50%,1.50%,2.26%,2.26%,2.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02,"17,431,239",0.93%,0.93%,0.93%,0.93%,0.93%,0.93%,1.85%,1.85%,1.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03,"18,549,881",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04,"22,286,096",0.78%,0.78%,0.78%,0.78%,0.78%,0.78%,0.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05,"29,682,321",0.00%,0.00%,0.00%,0.00%,0.00%,0.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06,"32,119,365",0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07,"44,062,098",0.00%,0.00%,0.38%,0.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08,"45,226,287",0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09,"49,705,624",1.04%,1.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,"57,091,652",0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+,,0.2%,0.3%,0.3%,0.7%,0.9%,1.4%,1.7%,2.3%,2.6%,2.9%,3.4%,3.9%,4.5%,5.1%,5.8%,6.4%,6.9%,7.3%,7.7%,8.4%,8.7%,8.9%,9.7%,10.0%,9.9%,10.4%,10.6%,11.1%,11.3%,10.7%,10.6%,10.3%,8.4%,9.1%,8.1%,8.6%,8.6%,9.4%,7.1%,0.0%,0.0%
